iter	RMSE
0	0.6775837374
1	0.6418257948
2	0.6105016325
3	0.5850958361
4	0.5609371467
5	0.5408706317
6	0.5217034639
7	0.5059376723
8	0.4898546783
9	0.4770569483
10	0.4656150112
11	0.4555944358
12	0.4462234841
13	0.4380263143
14	0.4306834186
15	0.4231519684
16	0.417286917
17	0.4111187605
18	0.4043816959
19	0.3999850082
20	0.3958826252
21	0.3911545541
22	0.3876266719
23	0.3828786031
24	0.3796482756
25	0.3764582664
26	0.3743654883
27	0.3722005787
28	0.3690505107
29	0.3663316584
30	0.3640064371
31	0.3628949675
32	0.3599360731
33	0.3580320793
34	0.355214013
35	0.3521429343
36	0.3498164476
37	0.3482361259
38	0.3463479641
39	0.3457048259
40	0.3441967255
41	0.3426081476
42	0.3416679982
43	0.3400225197
44	0.3387726893
45	0.3375601652
46	0.3370744374
47	0.3357454434
48	0.3345903877
49	0.3333905972
50	0.3328437815
51	0.3321368252
52	0.3310495567
53	0.3300817362
54	0.329306903
55	0.3286293584
56	0.3283018905
57	0.327690511
58	0.3264167894
59	0.3260283075
60	0.3257986702
61	0.3253820009
62	0.3253324583
63	0.3246895206
64	0.3238224218
65	0.3235351417
66	0.3229958948
67	0.3220252977
68	0.3219993786
69	0.3217436377
70	0.3216280403
71	0.3214913181
72	0.3208286648
73	0.3197281494
74	0.3192149929
75	0.319074598
76	0.3184894416
77	0.3178043848
78	0.3176173261
79	0.3171885152
80	0.3165511049
81	0.3165336907
82	0.315857556
83	0.3150684717
84	0.3148889524
85	0.3140575058
86	0.3133325906
87	0.3129971204
88	0.3124959586
89	0.3124374211
90	0.312392046
91	0.3122432784
92	0.3117294653
93	0.3112796277
94	0.3105607425
95	0.3098471303
96	0.3098122858
97	0.3097563926
98	0.3092114268
99	0.3092042348
100	0.3086224457
101	0.3083673829
102	0.3083149084
103	0.3083063399
104	0.3077492114
105	0.307719215
106	0.3075854742
107	0.3074335572
108	0.3074211339
109	0.3073983498
110	0.3073808339
111	0.3073664632
112	0.3073098075
113	0.3073070677
114	0.3073028787
115	0.3072992752
116	0.3069608586
117	0.3065061325
118	0.3062799754
119	0.3060740437
120	0.3058973235
121	0.3056306943
122	0.30562236
123	0.3056198546
124	0.3055715804
125	0.304984602
126	0.3049767001
127	0.3049746996
128	0.3048285367
129	0.3048268655
130	0.3047979226
131	0.3041806404
132	0.3041793065
133	0.3039298394
134	0.3039294881
135	0.3035340344
136	0.303532346
137	0.3035309389
138	0.3035306575
139	0.303505913
140	0.3035046968
141	0.3035036716
142	0.3035027871
143	0.3035020333
144	0.303483217
145	0.3034824832
146	0.3034823425
147	0.3034817193
148	0.303479337
149	0.3034790756
150	0.302924952
151	0.3026945572
152	0.3024359576
153	0.302429714
154	0.3024243679
155	0.3024232886
156	0.3024188201
157	0.3024150273
158	0.3020811061
159	0.3020801568
160	0.3020800962
161	0.3020792783
162	0.3020785916
163	0.3015284601
164	0.3015284702
165	0.3012505823
166	0.3012495393
167	0.3010861277
168	0.3010861176
169	0.3010813455
170	0.300739756
171	0.3007390764
172	0.3007380722
173	0.300737565
174	0.3007373419
175	0.3004657988
176	0.3004656059
177	0.3004653927
178	0.3003883846
179	0.3003877144
180	0.3001147267
181	0.3001147165
182	0.3001140253
183	0.2999527817
184	0.2995303352
185	0.2990051846
186	0.2990049806
187	0.2987113878
188	0.2985082977
189	0.2982692141
190	0.2977615407
191	0.2977612539
192	0.2976804515
