iter	Passed	Remaining
0	37	55941
1	60	44954
2	73	36730
3	86	32298
4	96	28938
5	108	27075
6	121	25819
7	135	25248
8	149	24743
9	164	24473
10	178	24151
11	190	23595
12	205	23536
13	225	23931
14	235	23355
15	247	22985
16	259	22655
17	270	22284
18	281	21907
19	291	21534
20	305	21509
21	316	21234
22	326	20986
23	336	20702
24	346	20449
25	357	20260
26	367	20045
27	380	19979
28	393	19934
29	404	19806
30	418	19825
31	428	19679
32	440	19593
33	452	19493
34	494	20706
35	544	22130
36	555	21975
37	567	21833
38	578	21664
39	588	21490
40	602	21456
41	614	21325
42	625	21189
43	635	21035
44	646	20918
45	657	20770
46	668	20655
47	678	20536
48	689	20405
49	699	20286
50	712	20255
51	723	20141
52	734	20043
53	744	19929
54	754	19822
55	765	19742
56	776	19648
57	786	19545
58	796	19459
59	807	19374
60	820	19356
61	830	19271
62	840	19164
63	850	19082
64	861	19014
65	872	18947
66	882	18876
67	892	18796
68	902	18724
69	914	18671
70	925	18635
71	936	18572
72	946	18503
73	957	18446
74	969	18424
75	980	18368
76	990	18300
77	1002	18267
78	1015	18266
79	1028	18247
80	1041	18238
81	1053	18224
82	1071	18297
83	1086	18311
84	1100	18325
85	1112	18284
86	1122	18232
87	1132	18166
88	1142	18113
89	1152	18059
90	1168	18092
91	1178	18042
92	1193	18060
93	1211	18115
94	1225	18128
95	1238	18106
96	1249	18065
97	1261	18050
98	1278	18086
99	1336	18714
100	1357	18799
101	1385	18987
102	1396	18940
103	1407	18887
104	1417	18828
105	1427	18775
106	1438	18721
107	1448	18671
108	1459	18626
109	1471	18589
110	1485	18587
111	1495	18535
112	1506	18493
113	1518	18458
114	1528	18403
115	1539	18371
116	1550	18327
117	1561	18289
118	1572	18246
119	1582	18196
120	1595	18185
121	1606	18147
122	1616	18093
123	1626	18049
124	1636	18004
125	1647	17961
126	1657	17918
127	1668	17884
128	1678	17843
129	1689	17808
130	1702	17792
131	1712	17749
132	1722	17709
133	1732	17664
134	1742	17621
135	1753	17582
136	1763	17543
137	1773	17504
138	1783	17462
139	1794	17429
140	1808	17426
141	1818	17386
142	1828	17348
143	1839	17319
144	1849	17282
145	1859	17241
146	1870	17217
147	1880	17179
148	1890	17137
149	1900	17100
150	1913	17091
151	1923	17059
152	1933	17019
153	1943	16984
154	1953	16947
155	1963	16918
156	1973	16880
157	1984	16852
158	1995	16832
159	2006	16806
160	2021	16816
161	2033	16797
162	2045	16774
163	2056	16752
164	2067	16730
165	2078	16705
166	2089	16678
167	2100	16652
168	2110	16618
169	2119	16582
170	2129	16551
171	2143	16549
172	2153	16519
173	2164	16498
174	2174	16465
175	2184	16435
176	2194	16402
177	2203	16364
178	2212	16330
179	2222	16296
180	2232	16267
181	2242	16236
182	2255	16229
183	2265	16201
184	2275	16172
185	2285	16149
186	2297	16130
187	2308	16107
188	2317	16077
189	2328	16054
190	2338	16028
191	2347	15994
192	2357	15965
193	2369	15951
194	2379	15923
195	2389	15898
196	2399	15870
197	2408	15838
198	2418	15810
199	2429	15788
200	2439	15763
201	2449	15738
202	2458	15710
203	2471	15704
204	2483	15685
205	2493	15662
206	2502	15632
207	2513	15609
208	2522	15579
209	2531	15548
210	2541	15525
211	2551	15501
212	2561	15475
213	2573	15467
214	2583	15439
215	2595	15426
216	2606	15408
217	2615	15383
218	2625	15359
219	2638	15351
220	2647	15324
221	2657	15300
222	2667	15277
223	2682	15278
224	2692	15257
225	2702	15234
226	2714	15220
227	2724	15197
228	2733	15172
229	2742	15145
230	2754	15129
231	2764	15109
232	2774	15088
233	2788	15084
234	2797	15060
235	2807	15039
236	2818	15018
237	2827	14991
238	2838	14974
239	2849	14959
240	2858	14933
241	2868	14909
242	2878	14890
243	2890	14880
244	2906	14888
245	2916	14869
246	2926	14845
247	2937	14831
248	2947	14809
249	2957	14787
250	2967	14765
251	2977	14747
252	2988	14729
253	2998	14707
254	3011	14703
255	3021	14682
256	3031	14661
257	3042	14645
258	3052	14628
259	3063	14608
260	3073	14592
261	3084	14575
262	3094	14556
263	3104	14532
264	3116	14525
265	3127	14507
266	3137	14488
267	3146	14464
268	3157	14448
269	3167	14428
270	3177	14409
271	3187	14391
272	3197	14373
273	3207	14353
274	3221	14348
275	3231	14333
276	3240	14307
277	3250	14289
278	3261	14271
279	3272	14259
280	3283	14241
281	3292	14222
282	3302	14202
283	3311	14180
284	3324	14173
285	3334	14156
286	3344	14134
287	3354	14115
288	3365	14102
289	3375	14084
290	3386	14069
291	3397	14055
292	3407	14037
293	3417	14019
294	3432	14020
295	3442	14000
296	3452	13983
297	3462	13964
298	3473	13950
299	3483	13934
300	3494	13918
301	3503	13897
302	3515	13888
303	3526	13873
304	3538	13865
305	3549	13848
306	3558	13828
307	3568	13811
308	3578	13794
309	3589	13777
310	3598	13756
311	3608	13738
312	3617	13718
313	3627	13702
314	3639	13693
315	3649	13675
316	3660	13660
317	3670	13644
318	3681	13630
319	3692	13617
320	3702	13600
321	3712	13583
322	3723	13567
323	3733	13552
324	3747	13547
325	3757	13532
326	3768	13518
327	3779	13506
328	3789	13488
329	3799	13471
330	3810	13456
331	3820	13440
332	3832	13429
333	3841	13412
334	3854	13405
335	3865	13391
336	3876	13378
337	3887	13365
338	3897	13346
339	3907	13331
340	3917	13314
341	3927	13298
342	3937	13281
343	3947	13264
344	3960	13260
345	3971	13244
346	3981	13229
347	3991	13213
348	4000	13194
349	4010	13175
350	4019	13159
351	4029	13143
352	4039	13125
353	4049	13108
354	4057	13086
355	4071	13085
356	4082	13070
357	4091	13053
358	4102	13039
359	4111	13019
360	4123	13009
361	4133	12993
362	4143	12977
363	4153	12961
364	4162	12944
365	4176	12939
366	4186	12925
367	4196	12910
368	4207	12895
369	4216	12878
370	4227	12864
371	4238	12851
372	4247	12833
373	4257	12816
374	4266	12798
375	4280	12795
376	4291	12782
377	4300	12766
378	4310	12750
379	4320	12733
380	4329	12716
381	4339	12700
382	4350	12687
383	4360	12672
384	4370	12656
385	4380	12641
386	4395	12641
387	4405	12625
388	4416	12612
389	4426	12598
390	4436	12584
391	4446	12567
392	4456	12553
393	4466	12538
394	4476	12524
395	4487	12511
396	4501	12506
397	4511	12490
398	4521	12476
399	4530	12459
400	4539	12442
401	4550	12427
402	4559	12410
403	4569	12396
404	4579	12382
405	4590	12370
406	4604	12364
407	4613	12348
408	4624	12335
409	4633	12318
410	4643	12302
411	4652	12286
412	4662	12271
413	4672	12257
414	4683	12243
415	4693	12229
416	4706	12222
417	4716	12207
418	4726	12193
419	4736	12178
420	4745	12162
421	4755	12147
422	4766	12134
423	4775	12119
424	4786	12107
425	4796	12093
426	4807	12081
427	4821	12076
428	4831	12063
429	4842	12048
430	4852	12034
431	4861	12019
432	4872	12007
433	4883	11995
434	4893	11979
435	4903	11965
436	4913	11951
437	4925	11942
438	4935	11927
439	4945	11914
440	4956	11901
441	4967	11889
442	4977	11876
443	4988	11863
444	4998	11849
445	5008	11835
446	5017	11820
447	5031	11815
448	5041	11800
449	5051	11787
450	5061	11773
451	5071	11759
452	5081	11745
453	5092	11733
454	5101	11716
455	5112	11705
456	5122	11690
457	5136	11685
458	5146	11671
459	5156	11658
460	5167	11646
461	5180	11638
462	5190	11624
463	5199	11610
464	5209	11595
465	5220	11583
466	5229	11567
467	5241	11558
468	5252	11545
469	5262	11532
470	5272	11519
471	5282	11505
472	5292	11492
473	5303	11479
474	5313	11465
475	5322	11450
476	5332	11436
477	5342	11422
478	5355	11416
479	5365	11401
480	5376	11389
481	5385	11374
482	5395	11359
483	5405	11346
484	5415	11333
485	5425	11319
486	5435	11306
487	5445	11293
488	5459	11286
489	5469	11274
490	5479	11261
491	5491	11250
492	5500	11236
493	5511	11223
494	5520	11208
495	5530	11195
496	5540	11181
497	5551	11169
498	5565	11163
499	5575	11150
500	5585	11138
501	5595	11124
502	5605	11111
503	5615	11098
504	5625	11082
505	5634	11068
506	5645	11058
507	5655	11044
508	5669	11037
509	5679	11024
510	5690	11013
511	5699	10998
512	5710	10986
513	5719	10971
514	5728	10957
515	5738	10942
516	5748	10929
517	5759	10917
518	5773	10912
519	5782	10898
520	5793	10886
521	5803	10873
522	5813	10860
523	5824	10848
524	5834	10836
525	5844	10822
526	5854	10809
527	5865	10796
528	5878	10789
529	5888	10776
530	5898	10763
531	5907	10749
532	5918	10737
533	5927	10722
534	5937	10709
535	5948	10697
536	5958	10684
537	5968	10671
538	5980	10663
539	5991	10651
540	6002	10639
541	6012	10627
542	6022	10613
543	6032	10600
544	6042	10587
545	6052	10575
546	6062	10561
547	6072	10548
548	6086	10542
549	6097	10531
550	6106	10516
551	6116	10503
552	6125	10489
553	6135	10476
554	6144	10463
555	6154	10449
556	6164	10436
557	6174	10423
558	6187	10416
559	6198	10405
560	6208	10392
561	6218	10379
562	6228	10365
563	6237	10352
564	6249	10342
565	6259	10329
566	6269	10316
567	6280	10305
568	6294	10298
569	6304	10286
570	6314	10273
571	6324	10260
572	6335	10249
573	6346	10238
574	6356	10224
575	6366	10212
576	6376	10199
577	6386	10187
578	6401	10182
579	6411	10169
580	6420	10155
581	6430	10142
582	6440	10129
583	6450	10117
584	6461	10106
585	6471	10094
586	6481	10081
587	6491	10069
588	6504	10060
589	6513	10046
590	6523	10033
591	6533	10020
592	6542	10006
593	6554	9996
594	6564	9984
595	6574	9972
596	6585	9960
597	6594	9947
598	6608	9939
599	6617	9926
600	6627	9914
601	6636	9899
602	6645	9886
603	6655	9872
604	6665	9860
605	6675	9847
606	6685	9835
607	6695	9822
608	6706	9811
609	6719	9803
610	6728	9790
611	6739	9778
612	6749	9766
613	6759	9754
614	6770	9742
615	6779	9729
616	6789	9716
617	6800	9705
618	6810	9693
619	6820	9680
620	6833	9672
621	6844	9661
622	6854	9649
623	6864	9637
624	6875	9625
625	6885	9613
626	6895	9600
627	6905	9588
628	6914	9575
629	6924	9562
630	6938	9555
631	6948	9543
632	6959	9531
633	6968	9519
634	6980	9508
635	6990	9496
636	6999	9483
637	7010	9471
638	7020	9459
639	7030	9446
640	7043	9438
641	7054	9427
642	7063	9414
643	7073	9402
644	7084	9390
645	7093	9377
646	7103	9365
647	7112	9352
648	7122	9339
649	7132	9327
650	7145	9319
651	7155	9307
652	7166	9295
653	7176	9283
654	7187	9272
655	7197	9259
656	7207	9248
657	7217	9235
658	7226	9221
659	7235	9209
660	7246	9197
661	7259	9189
662	7268	9176
663	7279	9164
664	7289	9152
665	7299	9140
666	7308	9127
667	7319	9116
668	7328	9103
669	7338	9091
670	7349	9079
671	7361	9070
672	7372	9059
673	7382	9047
674	7392	9035
675	7403	9024
676	7413	9012
677	7423	9000
678	7433	8988
679	7444	8977
680	7454	8964
681	7467	8957
682	7478	8945
683	7488	8933
684	7498	8921
685	7508	8909
686	7518	8897
687	7528	8885
688	7539	8874
689	7549	8861
690	7559	8849
691	7569	8838
692	7582	8829
693	7592	8817
694	7601	8804
695	7612	8793
696	7623	8782
697	7633	8770
698	7643	8759
699	7653	8746
700	7663	8735
701	7673	8723
702	7684	8712
703	7698	8704
704	7707	8690
705	7717	8679
706	7726	8666
707	7736	8654
708	7747	8643
709	7757	8631
710	7768	8620
711	7778	8609
712	7788	8596
713	7797	8584
714	7810	8575
715	7820	8562
716	7829	8550
717	7839	8538
718	7849	8526
719	7859	8514
720	7869	8502
721	7881	8492
722	7891	8480
723	7900	8467
724	7913	8459
725	7924	8448
726	7934	8436
727	7945	8425
728	7956	8414
729	7966	8403
730	7976	8391
731	7987	8380
732	7997	8368
733	8008	8357
734	8018	8345
735	8031	8337
736	8042	8326
737	8052	8314
738	8062	8302
739	8074	8292
740	8084	8281
741	8095	8269
742	8104	8256
743	8114	8245
744	8125	8234
745	8138	8226
746	8148	8214
747	8158	8202
748	8169	8191
749	8179	8179
750	8189	8168
751	8200	8156
752	8210	8145
753	8221	8134
754	8232	8123
755	8244	8114
756	8255	8102
757	8264	8089
758	8273	8077
759	8284	8066
760	8294	8054
761	8304	8042
762	8313	8030
763	8322	8017
764	8333	8006
765	8346	7998
766	8358	7987
767	8369	7976
768	8380	7966
769	8390	7954
770	8400	7942
771	8411	7931
772	8420	7919
773	8430	7907
774	8440	7896
775	8454	7887
776	8463	7875
777	8474	7864
778	8484	7853
779	8493	7840
780	8504	7828
781	8514	7817
782	8523	7805
783	8535	7794
784	8545	7783
785	8558	7774
786	8569	7763
787	8579	7751
788	8588	7739
789	8598	7727
790	8608	7715
791	8618	7704
792	8628	7693
793	8638	7681
794	8649	7670
795	8662	7661
796	8673	7650
797	8684	7639
798	8694	7627
799	8704	7616
800	8714	7604
801	8724	7593
802	8734	7581
803	8744	7570
804	8754	7558
805	8768	7549
806	8778	7538
807	8788	7526
808	8799	7516
809	8809	7504
810	8819	7493
811	8831	7482
812	8842	7472
813	8853	7461
814	8863	7449
815	8877	7441
816	8886	7429
817	8897	7417
818	8906	7406
819	8916	7394
820	8926	7382
821	8936	7371
822	8947	7359
823	8956	7347
824	8967	7336
825	8980	7327
826	8990	7316
827	9001	7305
828	9012	7294
829	9021	7282
830	9032	7271
831	9042	7259
832	9052	7248
833	9062	7236
834	9072	7225
835	9085	7216
836	9096	7205
837	9105	7192
838	9115	7181
839	9126	7170
840	9136	7159
841	9147	7148
842	9157	7136
843	9168	7125
844	9178	7114
845	9190	7104
846	9201	7094
847	9212	7083
848	9221	7071
849	9232	7059
850	9243	7049
851	9254	7038
852	9264	7027
853	9273	7015
854	9284	7004
855	9294	6992
856	9307	6983
857	9318	6972
858	9328	6960
859	9338	6949
860	9349	6938
861	9360	6928
862	9369	6916
863	9380	6905
864	9390	6893
865	9400	6882
866	9413	6873
867	9424	6862
868	9433	6850
869	9444	6839
870	9453	6827
871	9464	6815
872	9473	6804
